Configuration,Image Size,Total Pixels (M),Wall Clock Time (s),Computation Time (s),Communication Time (s),Comm Overhead (%),Load Balance Score,Pixels/Second (M),Total Chunks
Static Blocking,500×500,0.25,1.215,1.202,0.013,1.1,1.0,0.21,50
Static Blocking,1000×1000,1.0,4.873,4.872,0.001,0.03,1.0,0.21,100
Static Blocking,2000×2000,4.0,19.481,19.172,0.309,1.59,1.0,0.21,200
Dynamic Nonblocking,500×500,0.25,2.408,0.0,0.0,0.0,0.0,0.1,50
Dynamic Nonblocking,1000×1000,1.0,9.632,0.0,0.0,0.0,0.0,0.1,100
Dynamic Nonblocking,2000×2000,4.0,39.679,0.0,0.0,0.0,0.0,0.1,200
Static Nonblocking,500×500,0.25,1.229,1.186,0.042,3.45,1.0,0.2,50
Static Nonblocking,1000×1000,1.0,4.843,4.834,0.009,0.18,1.0,0.21,100
Static Nonblocking,2000×2000,4.0,19.628,19.405,0.223,1.14,1.0,0.2,200
Dynamic Blocking,500×500,0.25,2.46,0.0,0.0,0.0,0.0,0.1,50
Dynamic Blocking,1000×1000,1.0,9.604,0.0,0.0,0.0,0.0,0.1,100
Dynamic Blocking,2000×2000,4.0,38.998,0.0,0.0,0.0,0.0,0.1,200
